Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
02389b124-w1-int-1b	-9999	55258.5989867863	w1	8	255.028561769467	-4.27082852666301	02389b124	WISE	
02389b124-w2-int-1b	-9999	55258.5989867863	w2	8	255.028561769467	-4.27082852666301	02389b124	WISE	
02389b124-w3-int-1b	-9999	55258.5989925733	w3	9	255.028561797438	-4.27082849065502	02389b124	WISE	
02389b124-w4-int-1b	-9999	55258.5989925733	w4	9	255.028561797438	-4.27082849065502	02389b124	WISE	
02393b124-w1-int-1b	-9999	55258.7312908563	w1	8	255.029201239139	-4.27000530133855	02393b124	WISE	
02393b124-w2-int-1b	-9999	55258.7312908563	w2	8	255.029201239139	-4.27000530133855	02393b124	WISE	
02393b124-w3-int-1b	-9999	55258.7312966433	w3	9	255.029201267109	-4.27000526533056	02393b124	WISE	
02393b124-w4-int-1b	-9999	55258.7312966433	w4	9	255.029201267109	-4.27000526533056	02393b124	WISE	
02393b125-w1-int-1b	-9999	55258.7314181663	w1	8	255.029201854471	-4.27000450918745	02393b125	WISE	
02393b125-w2-int-1b	-9999	55258.7314181663	w2	8	255.029201854471	-4.27000450918745	02393b125	WISE	
02393b125-w3-int-1b	-9999	55258.7314239533	w3	9	255.029201882441	-4.27000447317946	02393b125	WISE	
02393b125-w4-int-1b	-9999	55258.7314239533	w4	9	255.029201882441	-4.27000447317946	02393b125	WISE	
02397b123-w3-int-1b	-9999	55258.8636007033	w3	9	255.029840736733	-4.26918204006836	02397b123	WISE	
02397b123-w4-int-1b	-9999	55258.8636007033	w4	9	255.029840736733	-4.26918204006836	02397b123	WISE	
02397b124-w1-int-1b	-9999	55258.8637222763	w1	8	255.029841324335	-4.26918128361414	02397b124	WISE	
02397b124-w2-int-1b	-9999	55258.8637222763	w2	8	255.029841324335	-4.26918128361414	02397b124	WISE	
02397b124-w3-int-1b	-9999	55258.8637280633	w3	9	255.029841352306	-4.26918124760615	02397b124	WISE	
02397b124-w4-int-1b	-9999	55258.8637280633	w4	9	255.029841352306	-4.26918124760615	02397b124	WISE	
02401b124-w1-int-1b	-9999	55258.9960263963	w1	8	255.030480794249	-4.26835805797857	02401b124	WISE	
02401b124-w2-int-1b	-9999	55258.9960263963	w2	8	255.030480794249	-4.26835805797857	02401b124	WISE	
02401b124-w3-int-1b	-9999	55258.9960321833	w3	9	255.030480822219	-4.26835802197058	02401b124	WISE	
02401b124-w4-int-1b	-9999	55258.9960321833	w4	9	255.030480822219	-4.26835802197058	02401b124	WISE	
02404a099-w1-int-1b	-9999	55259.0621147663	w1	8	255.030774340218	-4.26794511604397	02404a099	WISE	
02404a099-w2-int-1b	-9999	55259.0621147663	w2	8	255.030774340218	-4.26794511604397	02404a099	WISE	
02404a099-w3-int-1b	-9999	55259.0621205533	w3	9	255.030774365777	-4.26794507987519	02404a099	WISE	
02404a099-w4-int-1b	-9999	55259.0621205533	w4	9	255.030774365777	-4.26794507987519	02404a099	WISE	
02404a100-w1-int-1b	-9999	55259.0622420863	w1	8	255.030774902548	-4.26794432029395	02404a100	WISE	
02404a100-w2-int-1b	-9999	55259.0622420863	w2	8	255.030774902548	-4.26794432029395	02404a100	WISE	
02404a100-w3-int-1b	-9999	55259.0622478733	w3	9	255.030774928107	-4.26794428412521	02404a100	WISE	
02404a100-w4-int-1b	-9999	55259.0622478733	w4	9	255.030774928107	-4.26794428412521	02404a100	WISE	
02406a059-w1-int-1b	-9999	55259.1283304663	w1	8	255.031066792893	-4.26753126791895	02406a059	WISE	
02406a059-w2-int-1b	-9999	55259.1283304663	w2	8	255.031066792893	-4.26753126791895	02406a059	WISE	
02406a059-w3-int-1b	-9999	55259.1283362533	w3	9	255.031066818452	-4.26753123175021	02406a059	WISE	
02406a059-w4-int-1b	-9999	55259.1283362533	w4	9	255.031066818452	-4.26753123175021	02406a059	WISE	
02408a078-w1-int-1b	-9999	55259.1944188463	w1	8	255.031358683238	-4.26711821554394	02408a078	WISE	
02408a078-w2-int-1b	-9999	55259.1944188463	w2	8	255.031358683238	-4.26711821554394	02408a078	WISE	
02408a078-w3-int-1b	-9999	55259.1944246333	w3	9	255.031358708797	-4.2671181793752	02408a078	WISE	
02408a078-w4-int-1b	-9999	55259.1944246333	w4	9	255.031358708797	-4.2671181793752	02408a078	WISE	
02408a079-w1-int-1b	-9999	55259.1945461563	w1	8	255.031359245524	-4.26711741985645	02408a079	WISE	
02408a079-w2-int-1b	-9999	55259.1945461563	w2	8	255.031359245524	-4.26711741985645	02408a079	WISE	
02408a079-w3-int-1b	-9999	55259.1945519433	w3	9	255.031359271083	-4.26711738368771	02408a079	WISE	
02408a079-w4-int-1b	-9999	55259.1945519433	w4	9	255.031359271083	-4.26711738368771	02408a079	WISE	
02409b124-w1-int-1b	-9999	55259.2606344763	w1	8	255.031651135604	-4.26670436785647	02409b124	WISE	
02409b124-w2-int-1b	-9999	55259.2606344763	w2	8	255.031651135604	-4.26670436785647	02409b124	WISE	
02409b124-w3-int-1b	-9999	55259.2606402633	w3	9	255.031651161163	-4.26670433168769	02409b124	WISE	
02409b124-w4-int-1b	-9999	55259.2606402633	w4	9	255.031651161163	-4.26670433168769	02409b124	WISE	
02412a099-w1-int-1b	-9999	55259.3268502163	w1	8	255.031943588455	-4.26629051948147	02412a099	WISE	
02412a099-w2-int-1b	-9999	55259.3268502163	w2	8	255.031943588455	-4.26629051948147	02412a099	WISE	
02412a099-w3-int-1b	-9999	55259.3268560033	w3	9	255.031943614015	-4.26629048331269	02412a099	WISE	
02412a099-w4-int-1b	-9999	55259.3268560033	w4	9	255.031943614015	-4.26629048331269	02412a099	WISE	
02416a099-w1-int-1b	-9999	55259.4591542863	w1	8	255.032527931431	-4.26546361904397	02416a099	WISE	
02416a099-w2-int-1b	-9999	55259.4591542863	w2	8	255.032527931431	-4.26546361904397	02416a099	WISE	
02416a099-w3-int-1b	-9999	55259.4591600733	w3	9	255.032527956991	-4.26546358287523	02416a099	WISE	
02416a099-w4-int-1b	-9999	55259.4591600733	w4	9	255.032527956991	-4.26546358287523	02416a099	WISE	
02420a099-w1-int-1b	-9999	55259.5914523963	w1	8	255.033112248084	-4.26463675585645	02420a099	WISE	
02420a099-w2-int-1b	-9999	55259.5914523963	w2	8	255.033112248084	-4.26463675585645	02420a099	WISE	
02420a099-w3-int-1b	-9999	55259.5914581833	w3	9	255.033112273643	-4.26463671968771	02420a099	WISE	
02420a099-w4-int-1b	-9999	55259.5914581833	w4	9	255.033112273643	-4.26463671968771	02420a099	WISE	
02424a099-w1-int-1b	-9999	55259.7237563763	w1	8	255.033696590662	-4.26380985598147	02424a099	WISE	
02424a099-w2-int-1b	-9999	55259.7237563763	w2	8	255.033696590662	-4.26380985598147	02424a099	WISE	
02424a099-w3-int-1b	-9999	55259.7237621633	w3	9	255.033696616221	-4.26380981981269	02424a099	WISE	
02424a099-w4-int-1b	-9999	55259.7237621633	w4	9	255.033696616221	-4.26380981981269	02424a099	WISE	
02517b120-w1-int-1b	-9999	55262.8334732163	w1	8	255.04541018267	-4.24409169889587	02517b120	WISE	
02517b120-w2-int-1b	-9999	55262.8334732163	w2	8	255.04541018267	-4.24409169889587	02517b120	WISE	
02517b120-w3-int-1b	-9999	55262.8334790033	w3	9	255.045410201719	-4.24409166192338	02517b120	WISE	
02517b120-w4-int-1b	-9999	55262.8334790033	w4	9	255.045410201719	-4.24409166192338	02517b120	WISE	
rings.v3.skycell.1206.094.wrp.y.55272_62545	-9999	55272.6260226111	y	30	255.057994237752	-4.17967023752016	1206.094	Pan-STARRS1	
rings.v3.skycell.1206.094.wrp.y.55272_63502	-9999	55272.6355946111	y	30	255.057989052919	-4.17960615829792	1206.094	Pan-STARRS1	
rings.v3.skycell.1206.094.wrp.z.55281_61113	-9999	55281.6117097111	z	30	255.037479136965	-4.11890952306923	1206.094	Pan-STARRS1	
rings.v3.skycell.1206.094.wrp.z.55281_61168	-9999	55281.6122483111	z	30	255.037477027448	-4.11890587255808	1206.094	Pan-STARRS1	
rings.v3.skycell.1296.008.wrp.g.55330_44015	-9999	55330.4407990426	g	43	254.474901149928	-3.83072218182014	1296.008	Pan-STARRS1	
rings.v3.skycell.1296.008.wrp.g.55330_45140	-9999	55330.4520513426	g	43	254.474706110062	-3.83067467210901	1296.008	Pan-STARRS1	
rings.v3.skycell.1296.008.wrp.g.55333_45174	-9999	55333.4523879426	g	43	254.422095114019	-3.81847814722482	1296.008	Pan-STARRS1	
rings.v3.skycell.1296.009.wrp.r.55338_50753	-9999	55338.5081662815	r	40	254.330891951506	-3.80002788093492	1296.009	Pan-STARRS1	
rings.v3.skycell.1296.009.wrp.r.55338_51843	-9999	55338.5190559815	r	40	254.330692307006	-3.79999097695158	1296.009	Pan-STARRS1	
rings.v3.skycell.1296.009.wrp.i.55342_36013	-9999	55342.3607897167	i	45	254.259738624859	-3.78779878583416	1296.009	Pan-STARRS1	
rings.v3.skycell.1296.009.wrp.i.55342_37252	-9999	55342.3731785167	i	45	254.25950788346	-3.78776230770084	1296.009	Pan-STARRS1	
rings.v3.skycell.1295.000.wrp.g.55363_39001	-9999	55363.3906551426	g	43	253.862332770671	-3.75178167146836	1295.000	Pan-STARRS1	
rings.v3.skycell.1295.000.wrp.g.55363_40097	-9999	55363.4016166426	g	43	253.862128156005	-3.75177710417669	1295.000	Pan-STARRS1	
rings.v3.skycell.1295.000.wrp.r.55365_37023	-9999	55365.3708584815	r	40	253.825472451425	-3.75119849187757	1295.000	Pan-STARRS1	
rings.v3.skycell.1295.000.wrp.r.55365_38219	-9999	55365.3828234815	r	40	253.825251098925	-3.75119683007201	1295.000	Pan-STARRS1	
rings.v3.skycell.1295.000.wrp.i.55367_33336	-9999	55367.3340185167	i	45	253.789279076423	-3.75112044650185	1295.000	Pan-STARRS1	
rings.v3.skycell.1295.000.wrp.i.55367_34487	-9999	55367.3455286167	i	45	253.789067578335	-3.75112172540185	1295.000	Pan-STARRS1	
rings.v3.skycell.1295.002.wrp.z.55430_26515	-9999	55430.2657205111	z	30	253.044754985474	-3.98892686793698	1295.002	Pan-STARRS1	
rings.v3.skycell.1206.099.wrp.y.55430_28789	-9999	55430.2884612111	y	30	253.044701923841	-3.9890822627203	1206.099	Pan-STARRS1	
rings.v3.skycell.1295.002.wrp.y.55430_28789	-9999	55430.2884612111	y	30	253.044701923841	-3.9890822627203	1295.002	Pan-STARRS1	
rings.v3.skycell.1206.099.wrp.z.55431_30225	-9999	55431.3028136111	z	30	253.042436039445	-3.99603049376537	1206.099	Pan-STARRS1	
rings.v3.skycell.1295.002.wrp.z.55431_30225	-9999	55431.3028136111	z	30	253.042436039445	-3.99603049376537	1295.002	Pan-STARRS1	
07827a112-w1-int-1b	-9999	55438.4393091563	w1	8	253.036964597008	-4.04670939744744	07827a112	WISE	
07827a112-w2-int-1b	-9999	55438.4393091563	w2	8	253.036964597008	-4.04670939744744	07827a112	WISE	
07827a112-w3-int-1b	-9999	55438.4393149433	w3	9	253.036964600384	-4.04670943972468	07827a112	WISE	
07830a182-w1-int-1b	-9999	55438.5716132963	w1	8	253.037041774423	-4.04767595269241	07830a182	WISE	
07830a182-w2-int-1b	-9999	55438.5716132963	w2	8	253.037041774423	-4.04767595269241	07830a182	WISE	
07830a182-w3-int-1b	-9999	55438.5716190833	w3	9	253.037041777799	-4.04767599496965	07830a182	WISE	
07834a182-w1-int-1b	-9999	55438.7039174963	w1	8	253.037118951873	-4.04864250837575	07834a182	WISE	
07834a182-w2-int-1b	-9999	55438.7039174963	w2	8	253.037118951873	-4.04864250837575	07834a182	WISE	
07834a182-w3-int-1b	-9999	55438.7039232833	w3	9	253.037118955249	-4.04864255065298	07834a182	WISE	
07837a158-w1-int-1b	-9999	55438.7700059363	w1	8	253.037157503463	-4.04912532114573	07837a158	WISE	
07837a158-w2-int-1b	-9999	55438.7700059363	w2	8	253.037157503463	-4.04912532114573	07837a158	WISE	
07837a158-w3-int-1b	-9999	55438.7700117233	w3	9	253.037157506839	-4.04912536342303	07837a158	WISE	
07838a181-w1-int-1b	-9999	55438.8360943763	w1	8	253.037196055053	-4.04960813391572	07838a181	WISE	
07838a181-w2-int-1b	-9999	55438.8360943763	w2	8	253.037196055053	-4.04960813391572	07838a181	WISE	
07838a181-w3-int-1b	-9999	55438.8361001633	w3	9	253.037196058429	-4.04960817619302	07838a181	WISE	
07838a182-w1-int-1b	-9999	55438.8362216963	w1	8	253.037196129323	-4.04960906405908	07838a182	WISE	
07838a182-w2-int-1b	-9999	55438.8362216963	w2	8	253.037196129323	-4.04960906405908	07838a182	WISE	
07838a182-w3-int-1b	-9999	55438.8362274833	w3	9	253.037196132699	-4.04960910633632	07838a182	WISE	
07841a158-w1-int-1b	-9999	55438.9023101363	w1	8	253.037234680913	-4.05009187682907	07841a158	WISE	
07841a158-w2-int-1b	-9999	55438.9023101363	w2	8	253.037234680913	-4.05009187682907	07841a158	WISE	
07841a158-w3-int-1b	-9999	55438.9023159233	w3	9	253.037234684289	-4.05009191910631	07841a158	WISE	
07842a181-w1-int-1b	-9999	55438.9683985763	w1	8	253.037273232503	-4.05057468959906	07842a181	WISE	
07842a181-w2-int-1b	-9999	55438.9683985763	w2	8	253.037273232503	-4.05057468959906	07842a181	WISE	
07842a181-w3-int-1b	-9999	55438.9684043633	w3	9	253.037273235879	-4.05057473187635	07842a181	WISE	
07845a158-w1-int-1b	-9999	55439.0346143863	w1	8	253.037323396521	-4.05106035589915	07845a158	WISE	
07845a158-w2-int-1b	-9999	55439.0346143863	w2	8	253.037323396521	-4.05106035589915	07845a158	WISE	
07845a158-w3-int-1b	-9999	55439.0346201733	w3	9	253.037323401826	-4.05106039849789	07845a158	WISE	
07847a102-w1-int-1b	-9999	55439.1007027363	w1	8	253.037383977509	-4.05154683958667	07847a102	WISE	
07847a102-w2-int-1b	-9999	55439.1007027363	w2	8	253.037383977509	-4.05154683958667	07847a102	WISE	
07847a102-w3-int-1b	-9999	55439.1007085233	w3	9	253.037383982813	-4.0515468821854	07847a102	WISE	
07849a138-w1-int-1b	-9999	55439.1667911663	w1	8	253.037444558569	-4.05203332386307	07849a138	WISE	
07849a138-w2-int-1b	-9999	55439.1667911663	w2	8	253.037444558569	-4.05203332386307	07849a138	WISE	
07849a138-w3-int-1b	-9999	55439.1667969533	w3	9	253.037444563874	-4.0520333664618	07849a138	WISE	
07849a139-w1-int-1b	-9999	55439.1669185263	w1	8	253.037444675316	-4.05203426137417	07849a139	WISE	
07849a139-w2-int-1b	-9999	55439.1669185263	w2	8	253.037444675316	-4.05203426137417	07849a139	WISE	
07849a139-w3-int-1b	-9999	55439.1669243133	w3	9	253.037444680621	-4.05203430397291	07849a139	WISE	
07853a157-w1-int-1b	-9999	55439.2990953663	w1	8	253.037565837419	-4.05300722977973	07853a157	WISE	
07853a157-w2-int-1b	-9999	55439.2990953663	w2	8	253.037565837419	-4.05300722977973	07853a157	WISE	
07853a157-w3-int-1b	-9999	55439.2991011533	w3	9	253.037565842724	-4.05300727237847	07853a157	WISE	
07853a158-w1-int-1b	-9999	55439.2992226863	w1	8	253.037565954129	-4.05300816699637	07853a158	WISE	
07853a158-w2-int-1b	-9999	55439.2992226863	w2	8	253.037565954129	-4.05300816699637	07853a158	WISE	
07853a158-w3-int-1b	-9999	55439.2992284733	w3	9	253.037565959434	-4.05300820959511	07853a158	WISE	
07857a105-w1-int-1b	-9999	55439.4313995563	w1	8	253.03768711626	-4.05398113562276	07857a105	WISE	
07857a105-w2-int-1b	-9999	55439.4313995563	w2	8	253.03768711626	-4.05398113562276	07857a105	WISE	
07857a105-w3-int-1b	-9999	55439.4314053433	w3	9	253.037687121565	-4.0539811782215	07857a105	WISE	
07861a158-w1-int-1b	-9999	55439.5637037163	w1	8	253.037808395073	-4.05495504124501	07861a158	WISE	
07861a158-w2-int-1b	-9999	55439.5637037163	w2	8	253.037808395073	-4.05495504124501	07861a158	WISE	
07861a158-w3-int-1b	-9999	55439.5637095033	w3	9	253.037808400378	-4.05495508384375	07861a158	WISE	
rings.v3.skycell.1206.081.wrp.z.55633_62469	-9999	55633.6252644111	z	30	256.199479563284	-4.45052952398309	1206.081	Pan-STARRS1	
rings.v3.skycell.1206.081.wrp.z.55633_63711	-9999	55633.6376787111	z	30	256.199498184734	-4.45044848619143	1206.081	Pan-STARRS1	
rings.v3.skycell.1206.081.wrp.y.55637_59093	-9999	55637.5914955111	y	30	256.202142021021	-4.42450622412106	1206.081	Pan-STARRS1	
rings.v3.skycell.1206.081.wrp.y.55637_60370	-9999	55637.6042795111	y	30	256.202141488354	-4.42442170767663	1206.081	Pan-STARRS1	
rings.v3.skycell.1206.094.wrp.i.55731_46047	-9999	55731.4611287167	i	45	254.972699905044	-4.00011327062685	1206.094	Pan-STARRS1	
rings.v3.skycell.1296.007.wrp.i.55731_46047	-9999	55731.4611287167	i	45	254.972699905044	-4.00011327062685	1296.007	Pan-STARRS1	
rings.v3.skycell.1296.007.wrp.r.55737_33193	-9999	55737.3325590815	r	40	254.865236126494	-4.00192538825104	1296.007	Pan-STARRS1	
rings.v3.skycell.1296.007.wrp.r.55737_34162	-9999	55737.3422560815	r	40	254.865061984536	-4.00193212227882	1296.007	Pan-STARRS1	
rings.v3.skycell.1296.007.wrp.i.55737_35279	-9999	55737.3534521167	i	45	254.864860922404	-4.00193989730326	1296.007	Pan-STARRS1	
rings.v3.skycell.1296.007.wrp.i.55737_36344	-9999	55737.3640960167	i	45	254.8646697757	-4.00194728890049	1296.007	Pan-STARRS1	
rings.v3.skycell.1296.007.wrp.g.55740_41659	-9999	55740.4172372426	g	43	254.810271193599	-4.00461867367948	1296.007	Pan-STARRS1	
rings.v3.skycell.1296.008.wrp.g.55740_41659	-9999	55740.4172372426	g	43	254.810271193599	-4.00461867367948	1296.008	Pan-STARRS1	
rings.v3.skycell.1296.008.wrp.g.55742_34030	-9999	55742.3409474426	g	43	254.776631910995	-4.00689904103458	1296.008	Pan-STARRS1	
rings.v3.skycell.1296.008.wrp.g.55742_35109	-9999	55742.3517349426	g	43	254.776444927662	-4.0069134243679	1296.008	Pan-STARRS1	
rings.v3.skycell.1206.095.wrp.g.55743_34428	-9999	55743.3449334426	g	43	254.759286975902	-4.00827601497264	1206.095	Pan-STARRS1	
rings.v3.skycell.1296.008.wrp.g.55743_34428	-9999	55743.3449334426	g	43	254.759286975902	-4.00827601497264	1296.008	Pan-STARRS1	
rings.v3.skycell.1206.095.wrp.g.55743_35459	-9999	55743.3552408426	g	43	254.759110032202	-4.00829090343931	1206.095	Pan-STARRS1	
rings.v3.skycell.1296.008.wrp.g.55743_35459	-9999	55743.3552408426	g	43	254.759110032202	-4.00829090343931	1296.008	Pan-STARRS1	
rings.v3.skycell.1206.095.wrp.r.55745_35645	-9999	55745.3570813815	r	40	254.724974251687	-4.01141061011866	1206.095	Pan-STARRS1	
rings.v3.skycell.1296.008.wrp.r.55745_35645	-9999	55745.3570813815	r	40	254.724974251687	-4.01141061011866	1296.008	Pan-STARRS1	
rings.v3.skycell.1206.095.wrp.r.55745_36657	-9999	55745.3672090815	r	40	254.72480334675	-4.01142777094366	1206.095	Pan-STARRS1	
rings.v3.skycell.1296.008.wrp.r.55745_36657	-9999	55745.3672090815	r	40	254.72480334675	-4.01142777094366	1296.008	Pan-STARRS1	
J75_02_20110723202730.fits	-9999	55765.8529513889	V	90	254.421421440972	-4.07112585841048	unknown	ESA-LSSS-Centurion2	
J75_02_20110723202948.fits	-9999	55765.8545486111	V	90	254.421401475694	-4.07113233603395	unknown	ESA-LSSS-Centurion2	
J75_02_20110723204144.fits	-9999	55765.8628356481	V	90	254.421297887731	-4.07116594457305	unknown	ESA-LSSS-Centurion2	
J75_02_20110723204403.fits	-9999	55765.8644444444	V	90	254.421277777777	-4.0711724691358	unknown	ESA-LSSS-Centurion2	
J75_02_20110723205559.fits	-9999	55765.8727314815	V	90	254.421174189814	-4.0712060776749	unknown	ESA-LSSS-Centurion2	
J75_02_20110723205818.fits	-9999	55765.8743402778	V	90	254.421154079861	-4.07121260223765	unknown	ESA-LSSS-Centurion2	
rings.v3.skycell.1206.096.wrp.y.55787_34850	-9999	55787.3490630111	y	30	254.22402197627	-4.18228174792924	1206.096	Pan-STARRS1	
rings.v3.skycell.1206.096.wrp.y.55787_36003	-9999	55787.3606079111	y	30	254.22395655517	-4.18235262078757	1206.096	Pan-STARRS1	
201108200083689401	-9999	55793.918425926	U	80	254.193917307098	-4.22424074845728	N6254	INT/WFC	INT
201108200083689501	-9999	55793.9220254629	U	230	254.193904408758	-4.22426444540856	N6254	INT/WFC	INT
201108200083689601	-9999	55793.9263483796	U	229	254.193888918306	-4.22429290461016	N6254	INT/WFC	INT
201108200083689701	-9999	55793.9306944444	U	230	254.193873344908	-4.22432151620344	N6254	INT/WFC	INT
201108200083689801	-9999	55793.9343981482	U	80	254.193860073302	-4.22434589892011	N6254	INT/WFC	INT
c1i_110821_001601_ori.fits.fz c75e155a4decc2ee93f5057408204b64	-9999	55794.0198071759	i	1500	254.193560626678	-4.22490982561712	NGC6254	CTIO-1.0m/Y4KCam	CTIO
c1i_110821_004239_ori.fits.fz 0f082428d3097061d4d9590da86e32dd	-9999	55794.032228588	g	450	254.193520257089	-4.22499263503113	NGC6254	CTIO-1.0m/Y4KCam	CTIO
c1i_110821_005155_ori.fits.fz be1b9ea00c09b9f17973530608f574e5	-9999	55794.0372208333	r	200	254.193504032292	-4.22502591666644	NGC6254	CTIO-1.0m/Y4KCam	CTIO
201108210083708201	-9999	55794.8904166666	U	90	254.190731145834	-4.23071388888846	N6254	INT/WFC	INT
201108210083708301	-9999	55794.8920833333	U	90	254.190725729167	-4.2307249999998	N6254	INT/WFC	INT
201108210083708401	-9999	55794.8933738426	B	25	254.190721535012	-4.2307336033951	N6254	INT/WFC	INT
201108210083708501	-9999	55794.8942881944	V	25	254.190718563368	-4.23073969907379	N6254	INT/WFC	INT
201108210083708601	-9999	55794.8952604167	i	35	254.190715403646	-4.23074618055577	N6254	INT/WFC	INT
rings.v3.skycell.1206.096.wrp.z.55797_24226	-9999	55797.2428272111	z	30	254.184515541043	-4.24664503189868	1206.096	Pan-STARRS1	
rings.v3.skycell.1206.096.wrp.z.55797_25394	-9999	55797.2545106111	z	30	254.18449022701	-4.24672551754313	1206.096	Pan-STARRS1	
c1i_110824_235635_ori.fits.fz ee94e030e31f602357da33b1b011e1ea	-9999	55798.006315162	i	1500	254.182863948466	-4.2519047909816	NGC6254	CTIO-1.0m/Y4KCam	CTIO
c1i_110825_002331_ori.fits.fz 1f115b77a022ed9cee78bc38602f0741	-9999	55798.0189364583	g	450	254.182841861198	-4.25199208828101	NGC6254	CTIO-1.0m/Y4KCam	CTIO
c1i_110825_003245_ori.fits.fz 3e493057423130e688cbf40c826cb5ab	-9999	55798.0241898148	r	250	254.182832667824	-4.25202842399682	NGC6254	CTIO-1.0m/Y4KCam	CTIO
rings.v3.skycell.1206.096.wrp.g.55802_26109	-9999	55802.2617346426	g	43	254.177912755119	-4.28178516119855	1206.096	Pan-STARRS1	
rings.v3.skycell.1206.096.wrp.g.55802_27159	-9999	55802.2722321426	g	43	254.177909255953	-4.28186010168466	1206.096	Pan-STARRS1	
rings.v3.skycell.1206.096.wrp.i.55812_27032	-9999	55812.2709823167	i	45	254.192581231986	-4.35558272701277	1206.096	Pan-STARRS1	
rings.v3.skycell.1206.096.wrp.i.55812_28729	-9999	55812.2879501167	i	45	254.192638498311	-4.35571139949607	1206.096	Pan-STARRS1	
rings.v3.skycell.1207.088.wrp.z.56013_63987	-9999	56013.6404435111	z	30	257.32550002198	-4.59439485799635	1207.088	Pan-STARRS1	
rings.v3.skycell.1207.088.wrp.y.56013_64530	-9999	56013.6458784111	y	30	257.325479867559	-4.59435907823802	1207.088	Pan-STARRS1	
rings.v3.skycell.1207.088.wrp.y.56013_65061	-9999	56013.6511858111	y	30	257.325460185951	-4.59432413785472	1207.088	Pan-STARRS1	
rings.v3.skycell.1206.091.wrp.r.56087_39392	-9999	56087.3945574815	r	40	256.309986967956	-4.25309523849381	1206.091	Pan-STARRS1	
rings.v3.skycell.1206.091.wrp.r.56087_40373	-9999	56087.4043543815	r	40	256.309800418652	-4.25308380877714	1206.091	Pan-STARRS1	
rings.v3.skycell.1206.091.wrp.i.56087_43662	-9999	56087.4372824167	i	45	256.309173413982	-4.25304539273607	1206.091	Pan-STARRS1	
rings.v3.skycell.1206.091.wrp.g.56091_39782	-9999	56091.3984669426	g	43	256.233904064213	-4.24927884240098	1206.091	Pan-STARRS1	
rings.v3.skycell.1206.091.wrp.g.56091_40816	-9999	56091.4088078426	g	43	256.233708017984	-4.24927166122042	1206.091	Pan-STARRS1	
rings.v3.skycell.1206.083.wrp.z.56152_27481	-9999	56152.2754027111	z	30	255.372313158395	-4.42539758871475	1206.083	Pan-STARRS1	
rings.v3.skycell.1206.083.wrp.z.56152_27940	-9999	56152.2799817111	z	30	255.37228511202	-4.42542544429809	1206.083	Pan-STARRS1	
J75_01_20120815202055.fits	-9999	56154.8483796296	V	90	255.357410927855	-4.44119968492797	unknown	ESA-LSSS-Centurion1	
J75_01_20120815203457.fits	-9999	56154.858125	V	90	255.357357734375	-4.44126005208333	unknown	ESA-LSSS-Centurion1	
J75_01_20120815204851.fits	-9999	56154.8677777778	V	90	255.357305046296	-4.44131984567901	unknown	ESA-LSSS-Centurion1	
rings.v3.skycell.1206.083.wrp.y.56162_23356	-9999	56162.2341447111	y	30	255.327635370133	-4.48925364748637	1206.083	Pan-STARRS1	
rings.v3.skycell.1206.083.wrp.y.56162_24851	-9999	56162.2490904111	y	30	255.327596137671	-4.48935494611966	1206.083	Pan-STARRS1	
rings.v3.skycell.1206.083.wrp.z.56176_24661	-9999	56176.2471928111	z	30	255.325461615061	-4.5890624353715	1206.083	Pan-STARRS1	
rings.v3.skycell.1206.083.wrp.z.56176_25791	-9999	56176.2584903111	z	30	255.32549032954	-4.58914653898262	1206.083	Pan-STARRS1	
rings.v3.skycell.1207.075.wrp.z.56364_63117	-9999	56364.6317479111	z	30	258.479441141481	-4.92647115211857	1207.075	Pan-STARRS1	
rings.v3.skycell.1207.075.wrp.z.56364_63973	-9999	56364.6403129111	z	30	258.479458985231	-4.9264169071186	1207.075	Pan-STARRS1	
rings.v3.skycell.1207.076.wrp.z.56364_63973	-9999	56364.6403129111	z	30	258.479458985231	-4.9264169071186	1207.076	Pan-STARRS1	
rings.v3.skycell.1207.075.wrp.y.56364_64909	-9999	56364.6496645111	y	30	258.479478467731	-4.92635768031861	1207.075	Pan-STARRS1	
rings.v3.skycell.1207.076.wrp.y.56364_64909	-9999	56364.6496645111	y	30	258.479478467731	-4.92635768031861	1207.076	Pan-STARRS1	
rings.v3.skycell.1207.075.wrp.y.56364_65670	-9999	56364.6572806111	y	30	258.479494334606	-4.92630944501859	1207.075	Pan-STARRS1	
rings.v3.skycell.1207.076.wrp.y.56364_65670	-9999	56364.6572806111	y	30	258.479494334606	-4.92630944501859	1207.076	Pan-STARRS1	
rings.v3.skycell.1207.088.wrp.g.56447_45242	-9999	56447.4530765426	g	43	257.569766545691	-4.50608341947982	1207.088	Pan-STARRS1	
rings.v3.skycell.1207.088.wrp.g.56455_45825	-9999	56455.4589170426	g	43	257.417261454647	-4.49564534690895	1207.088	Pan-STARRS1	
rings.v3.skycell.1207.088.wrp.g.56455_46850	-9999	56455.4691542426	g	43	257.417066521297	-4.49563681590894	1207.088	Pan-STARRS1	
rings.v3.skycell.1207.088.wrp.i.56461_41078	-9999	56461.4114474167	i	45	257.304601550628	-4.49285460160417	1207.088	Pan-STARRS1	
