Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
05393b160-w1-int-1b	-9999	55357.9693842263	w1	8	352.951249555569	-9.5016034475615	05393b160	WISE	
05393b160-w2-int-1b	-9999	55357.9693842263	w2	8	352.951249555569	-9.5016034475615	05393b160	WISE	
05393b160-w3-int-1b	-9999	55357.9693900133	w3	9	352.951249587156	-9.50160346476174	05393b160	WISE	
05393b160-w4-int-1b	-9999	55357.9693900133	w4	9	352.951249587156	-9.50160346476174	05393b160	WISE	
05397b160-w1-int-1b	-9999	55358.1016879963	w1	8	352.951929343648	-9.50201645643272	05397b160	WISE	
05397b160-w2-int-1b	-9999	55358.1016879963	w2	8	352.951929343648	-9.50201645643272	05397b160	WISE	
05397b160-w3-int-1b	-9999	55358.1016937833	w3	9	352.951929372824	-9.50201647475821	05397b160	WISE	
05397b160-w4-int-1b	-9999	55358.1016937833	w4	9	352.951929372824	-9.50201647475821	05397b160	WISE	
05401b160-w1-int-1b	-9999	55358.2339918263	w1	8	352.952596375458	-9.50243541856106	05401b160	WISE	
05401b160-w2-int-1b	-9999	55358.2339918263	w2	8	352.952596375458	-9.50243541856106	05401b160	WISE	
05401b160-w3-int-1b	-9999	55358.2339976133	w3	9	352.952596404634	-9.50243543688656	05401b160	WISE	
05401b160-w4-int-1b	-9999	55358.2339976133	w4	9	352.952596404634	-9.50243543688656	05401b160	WISE	
05404a136-w2-int-1b	-9999	55358.3002073963	w2	8	352.95293021229	-9.50264510119939	05404a136	WISE	
05404a136-w3-int-1b	-9999	55358.3002131833	w3	9	352.952930241466	-9.50264511952489	05404a136	WISE	
05404a136-w4-int-1b	-9999	55358.3002131833	w4	9	352.952930241466	-9.50264511952489	05404a136	WISE	
05405b160-w1-int-1b	-9999	55358.3662956463	w1	8	352.953263407217	-9.50285438065773	05405b160	WISE	
05405b160-w2-int-1b	-9999	55358.3662956463	w2	8	352.953263407217	-9.50285438065773	05405b160	WISE	
05405b160-w3-int-1b	-9999	55358.3663014333	w3	9	352.953263436393	-9.50285439898322	05405b160	WISE	
05405b160-w4-int-1b	-9999	55358.3663014333	w4	9	352.953263436393	-9.50285439898322	05405b160	WISE	
05408a136-w1-int-1b	-9999	55358.4325112763	w1	8	352.953597244351	-9.50306406348607	05408a136	WISE	
05408a136-w2-int-1b	-9999	55358.4325112763	w2	8	352.953597244351	-9.50306406348607	05408a136	WISE	
05408a136-w3-int-1b	-9999	55358.4325170633	w3	9	352.953597273528	-9.50306408181156	05408a136	WISE	
05408a136-w4-int-1b	-9999	55358.4325170633	w4	9	352.953597273528	-9.50306408181156	05408a136	WISE	
05409b160-w1-int-1b	-9999	55358.4985994763	w1	8	352.953930439026	-9.50327334278605	05409b160	WISE	
05409b160-w2-int-1b	-9999	55358.4985994763	w2	8	352.953930439026	-9.50327334278605	05409b160	WISE	
05409b160-w3-int-1b	-9999	55358.4986052633	w3	9	352.953930468202	-9.50327336111157	05409b160	WISE	
05409b160-w4-int-1b	-9999	55358.4986052633	w4	9	352.953930468202	-9.50327336111157	05409b160	WISE	
05412a135-w1-int-1b	-9999	55358.5646876363	w1	8	352.9542636335	-9.5034826219594	05412a135	WISE	
05412a135-w2-int-1b	-9999	55358.5646876363	w2	8	352.9542636335	-9.5034826219594	05412a135	WISE	
05412a135-w3-int-1b	-9999	55358.5646934233	w3	9	352.954263662676	-9.50348264028489	05412a135	WISE	
05412a135-w4-int-1b	-9999	55358.5646934233	w4	9	352.954263662676	-9.50348264028489	05412a135	WISE	
05412a136-w1-int-1b	-9999	55358.5648149963	w1	8	352.954264275606	-9.50348302526606	05412a136	WISE	
05412a136-w2-int-1b	-9999	55358.5648149963	w2	8	352.954264275606	-9.50348302526606	05412a136	WISE	
05412a136-w3-int-1b	-9999	55358.5648207833	w3	9	352.954264304782	-9.50348304359156	05412a136	WISE	
05412a136-w4-int-1b	-9999	55358.5648207833	w4	9	352.954264304782	-9.50348304359156	05412a136	WISE	
05413b160-w1-int-1b	-9999	55358.6309032063	w1	8	352.954597470332	-9.50369230459773	05413b160	WISE	
05413b160-w2-int-1b	-9999	55358.6309032063	w2	8	352.954597470332	-9.50369230459773	05413b160	WISE	
05413b160-w3-int-1b	-9999	55358.6309089933	w3	9	352.954597499508	-9.50369232292322	05413b160	WISE	
05413b160-w4-int-1b	-9999	55358.6309089933	w4	9	352.954597499508	-9.50369232292322	05413b160	WISE	
05416a135-w1-int-1b	-9999	55358.6969914163	w1	8	352.954930665057	-9.50390158392939	05416a135	WISE	
05416a135-w2-int-1b	-9999	55358.6969914163	w2	8	352.954930665057	-9.50390158392939	05416a135	WISE	
05416a135-w3-int-1b	-9999	55358.6969972033	w3	9	352.954930694233	-9.50390160225488	05416a135	WISE	
05416a135-w4-int-1b	-9999	55358.6969972033	w4	9	352.954930694233	-9.50390160225488	05416a135	WISE	
05416a136-w1-int-1b	-9999	55358.6971187763	w1	8	352.954931307164	-9.50390198723605	05416a136	WISE	
05416a136-w2-int-1b	-9999	55358.6971187763	w2	8	352.954931307164	-9.50390198723605	05416a136	WISE	
05416a136-w3-int-1b	-9999	55358.6971245633	w3	9	352.95493133634	-9.50390200556157	05416a136	WISE	
05416a136-w4-int-1b	-9999	55358.6971245633	w4	9	352.95493133634	-9.50390200556157	05416a136	WISE	
05417b160-w1-int-1b	-9999	55358.7632070263	w1	8	352.955264502091	-9.50411126669439	05417b160	WISE	
05417b160-w2-int-1b	-9999	55358.7632070263	w2	8	352.955264502091	-9.50411126669439	05417b160	WISE	
05417b160-w3-int-1b	-9999	55358.7632128133	w3	9	352.955264531267	-9.50411128501988	05417b160	WISE	
05417b160-w4-int-1b	-9999	55358.7632128133	w4	9	352.955264531267	-9.50411128501988	05417b160	WISE	
05420a135-w1-int-1b	-9999	55358.8292952763	w1	8	352.955597697018	-9.50432054615273	05420a135	WISE	
05420a135-w2-int-1b	-9999	55358.8292952763	w2	8	352.955597697018	-9.50432054615273	05420a135	WISE	
05420a135-w3-int-1b	-9999	55358.8293010633	w3	9	352.955597726194	-9.50432056447822	05420a135	WISE	
05420a135-w4-int-1b	-9999	55358.8293010633	w4	9	352.955597726194	-9.50432056447822	05420a135	WISE	
05420a136-w1-int-1b	-9999	55358.8294226063	w1	8	352.955598338973	-9.50432094936439	05420a136	WISE	
05420a136-w2-int-1b	-9999	55358.8294226063	w2	8	352.955598338973	-9.50432094936439	05420a136	WISE	
05420a136-w3-int-1b	-9999	55358.8294283933	w3	9	352.955598368149	-9.50432096768989	05420a136	WISE	
05420a136-w4-int-1b	-9999	55358.8294283933	w4	9	352.955598368149	-9.50432096768989	05420a136	WISE	
05421b160-w1-int-1b	-9999	55358.8955108563	w1	8	352.9559315339	-9.50453022882273	05421b160	WISE	
05421b160-w2-int-1b	-9999	55358.8955108563	w2	8	352.9559315339	-9.50453022882273	05421b160	WISE	
05421b160-w3-int-1b	-9999	55358.8955166433	w3	9	352.955931563076	-9.50453024714823	05421b160	WISE	
05421b160-w4-int-1b	-9999	55358.8955166433	w4	9	352.955931563076	-9.50453024714823	05421b160	WISE	
05424a135-w1-int-1b	-9999	55358.9615991063	w1	8	352.956264728827	-9.50473950828105	05424a135	WISE	
05424a135-w2-int-1b	-9999	55358.9615991063	w2	8	352.956264728827	-9.50473950828105	05424a135	WISE	
05424a135-w3-int-1b	-9999	55358.9616048933	w3	9	352.956264758003	-9.50473952660657	05424a135	WISE	
05424a135-w4-int-1b	-9999	55358.9616048933	w4	9	352.956264758003	-9.50473952660657	05424a135	WISE	
05424a136-w1-int-1b	-9999	55358.9617264663	w1	8	352.956265370934	-9.50473991158774	05424a136	WISE	
05424a136-w2-int-1b	-9999	55358.9617264663	w2	8	352.956265370934	-9.50473991158774	05424a136	WISE	
05424a136-w3-int-1b	-9999	55358.9617322533	w3	9	352.95626540011	-9.50473992991323	05424a136	WISE	
05424a136-w4-int-1b	-9999	55358.9617322533	w4	9	352.95626540011	-9.50473992991323	05424a136	WISE	
05428a135-w1-int-1b	-9999	55359.0939029263	w1	8	352.956896546989	-9.50517151245083	05428a135	WISE	
05428a135-w2-int-1b	-9999	55359.0939029263	w2	8	352.956896546989	-9.50517151245083	05428a135	WISE	
05428a135-w3-int-1b	-9999	55359.0939087133	w3	9	352.956896573995	-9.50517153158008	05428a135	WISE	
05428a135-w4-int-1b	-9999	55359.0939087133	w4	9	352.956896573995	-9.50517153158008	05428a135	WISE	
05428a136-w1-int-1b	-9999	55359.0940302463	w1	8	352.956897141149	-9.50517193331415	05428a136	WISE	
05428a136-w2-int-1b	-9999	55359.0940302463	w2	8	352.956897141149	-9.50517193331415	05428a136	WISE	
05428a136-w3-int-1b	-9999	55359.0940360333	w3	9	352.956897168155	-9.5051719524434	05428a136	WISE	
05428a136-w4-int-1b	-9999	55359.0940360333	w4	9	352.956897168155	-9.5051719524434	05428a136	WISE	
05432a135-w1-int-1b	-9999	55359.2262067163	w1	8	352.957513964676	-9.50560884997889	05432a135	WISE	
05432a135-w2-int-1b	-9999	55359.2262067163	w2	8	352.957513964676	-9.50560884997889	05432a135	WISE	
05432a135-w3-int-1b	-9999	55359.2262125033	w3	9	352.957513991682	-9.50560886910813	05432a135	WISE	
05432a135-w4-int-1b	-9999	55359.2262125033	w4	9	352.957513991682	-9.50560886910813	05432a135	WISE	
05436a135-w1-int-1b	-9999	55359.3585104863	w1	8	352.958131382269	-9.50604618744083	05436a135	WISE	
05436a135-w2-int-1b	-9999	55359.3585104863	w2	8	352.958131382269	-9.50604618744083	05436a135	WISE	
05436a135-w3-int-1b	-9999	55359.3585162733	w3	9	352.958131409275	-9.50604620657007	05436a135	WISE	
05436a135-w4-int-1b	-9999	55359.3585162733	w4	9	352.958131409275	-9.50604620657007	05436a135	WISE	
rings.v3.skycell.1141.052.wrp.y.55375_56611	-9999	55375.5666859111	y	30	352.98350135922	-9.58110289164068	1141.052	Pan-STARRS1	
rings.v3.skycell.1141.062.wrp.y.55375_56611	-9999	55375.5666859111	y	30	352.98350135922	-9.58110289164068	1141.062	Pan-STARRS1	
rings.v3.skycell.1141.052.wrp.z.55397_59542	-9999	55397.5959933111	z	30	352.859296396878	-9.74601994054312	1141.052	Pan-STARRS1	
rings.v3.skycell.1141.052.wrp.z.55397_60675	-9999	55397.6073254111	z	30	352.859188741927	-9.74612067032092	1141.052	Pan-STARRS1	
rings.v3.skycell.1141.044.wrp.r.55439_50205	-9999	55439.5026816815	r	40	352.226157157912	-10.1857800944257	1141.044	Pan-STARRS1	
rings.v3.skycell.1141.044.wrp.r.55439_51387	-9999	55439.5144927815	r	40	352.225931762753	-10.1859126412146	1141.044	Pan-STARRS1	
rings.v3.skycell.1141.044.wrp.g.55446_43344	-9999	55446.4340914426	g	43	352.091855955439	-10.2632000690444	1141.044	Pan-STARRS1	
rings.v3.skycell.1141.035.wrp.i.55465_41968	-9999	55465.4203343167	i	45	351.718967745	-10.464045528243	1141.035	Pan-STARRS1	
rings.v3.skycell.1141.035.wrp.i.55465_43110	-9999	55465.4317551167	i	45	351.718748370467	-10.4641584672651	1141.035	Pan-STARRS1	
rings.v3.skycell.1141.035.wrp.r.55473_31833	-9999	55473.3189623815	r	40	351.570457313105	-10.5391383815658	1141.035	Pan-STARRS1	
rings.v3.skycell.1141.036.wrp.g.55480_27580	-9999	55480.2764443426	g	43	351.447080594328	-10.5994396534836	1141.036	Pan-STARRS1	
rings.v3.skycell.1141.036.wrp.g.55480_28700	-9999	55480.2876455426	g	43	351.446889707212	-10.5995317522392	1141.036	Pan-STARRS1	
rings.v3.skycell.1141.027.wrp.z.55536_22135	-9999	55536.2219324111	z	30	350.957272628903	-10.8068213660188	1141.027	Pan-STARRS1	
rings.v3.skycell.1141.037.wrp.z.55536_22135	-9999	55536.2219324111	z	30	350.957272628903	-10.8068213660188	1141.037	Pan-STARRS1	
rings.v3.skycell.1141.036.wrp.y.55557_23032	-9999	55557.2308968111	y	30	351.083094267048	-10.7428134930136	1141.036	Pan-STARRS1	
rings.v3.skycell.1141.037.wrp.y.55557_23032	-9999	55557.2308968111	y	30	351.083094267048	-10.7428134930136	1141.037	Pan-STARRS1	
rings.v3.skycell.1141.036.wrp.y.55557_24035	-9999	55557.2409256111	y	30	351.083197897981	-10.7427655776359	1141.036	Pan-STARRS1	
rings.v3.skycell.1141.037.wrp.y.55557_24035	-9999	55557.2409256111	y	30	351.083197897981	-10.7427655776359	1141.037	Pan-STARRS1	
rings.v3.skycell.1142.058.wrp.z.55745_61258	-9999	55745.6131495111	z	30	354.477464386741	-9.88856617171348	1142.058	Pan-STARRS1	
rings.v3.skycell.1142.058.wrp.z.55745_61743	-9999	55745.6180041111	z	30	354.477451238866	-9.88859880541351	1142.058	Pan-STARRS1	
rings.v3.skycell.1142.058.wrp.y.55747_60646	-9999	55747.6070285111	y	30	354.471192359732	-9.90232161703632	1142.058	Pan-STARRS1	
rings.v3.skycell.1142.058.wrp.y.55747_61437	-9999	55747.6149438111	y	30	354.471164985987	-9.9023772440058	1142.058	Pan-STARRS1	
J75_03_20110803021407.fits	-9999	55776.0936747685	V	93	354.229012712433	-10.1536346392747	unknown	ESA-LSSS-Centurion3	
J75_03_20110803022937.fits	-9999	55776.1044386574	V	93	354.2288705394	-10.1537458661266	unknown	ESA-LSSS-Centurion3	
J75_03_20110803024507.fits	-9999	55776.1152025463	V	93	354.228728366368	-10.1538570929784	unknown	ESA-LSSS-Centurion3	
J75_03_20110820005623.fits	-9999	55793.0396180556	V	80	353.971153223379	-10.3370834915123	unknown	ESA-LSSS-Centurion3	
J75_03_20110820005842.fits	-9999	55793.0412268518	V	80	353.97112560571	-10.3371015457819	unknown	ESA-LSSS-Centurion3	
J75_03_20110820011037.fits	-9999	55793.0495023148	V	80	353.970983543595	-10.3371944148662	unknown	ESA-LSSS-Centurion3	
J75_03_20110820011255.fits	-9999	55793.051099537	V	80	353.970956124614	-10.337212339249	unknown	ESA-LSSS-Centurion3	
J75_03_20110820012443.fits	-9999	55793.0592939815	V	80	353.970815453318	-10.3373042991255	unknown	ESA-LSSS-Centurion3	
J75_03_20110820012701.fits	-9999	55793.0608912037	V	80	353.970788034336	-10.3373222235083	unknown	ESA-LSSS-Centurion3	
rings.v3.skycell.1141.040.wrp.i.55794_55588	-9999	55794.5565341167	i	45	353.944996886389	-10.354122119924	1141.040	Pan-STARRS1	
rings.v3.skycell.1142.049.wrp.i.55794_55588	-9999	55794.5565341167	i	45	353.944996886389	-10.354122119924	1142.049	Pan-STARRS1	
rings.v3.skycell.1141.040.wrp.i.55794_56672	-9999	55794.5673824167	i	45	353.944808397177	-10.354244163299	1141.040	Pan-STARRS1	
rings.v3.skycell.1142.049.wrp.i.55794_56672	-9999	55794.5673824167	i	45	353.944808397177	-10.354244163299	1142.049	Pan-STARRS1	
rings.v3.skycell.1141.040.wrp.g.55796_49336	-9999	55796.4940043426	g	43	353.910981422919	-10.3759461046511	1141.040	Pan-STARRS1	
rings.v3.skycell.1142.049.wrp.g.55796_49336	-9999	55796.4940043426	g	43	353.910981422919	-10.3759461046511	1142.049	Pan-STARRS1	
rings.v3.skycell.1141.040.wrp.g.55796_50431	-9999	55796.5049582426	g	43	353.910786991194	-10.3760699445761	1141.040	Pan-STARRS1	
rings.v3.skycell.1142.049.wrp.g.55796_50431	-9999	55796.5049582426	g	43	353.910786991194	-10.3760699445761	1142.049	Pan-STARRS1	
rings.v3.skycell.1141.040.wrp.r.55796_51632	-9999	55796.5169496815	r	40	353.910574143153	-10.3762055144547	1141.040	Pan-STARRS1	
rings.v3.skycell.1141.040.wrp.r.55796_52696	-9999	55796.5275852815	r	40	353.910385361253	-10.3763257558214	1141.040	Pan-STARRS1	
rings.v3.skycell.1142.049.wrp.r.55796_52696	-9999	55796.5275852815	r	40	353.910385361253	-10.3763257558214	1142.049	Pan-STARRS1	
J75_02_20110825003100.fits	-9999	55798.0220486111	V	90	353.883727206308	-10.39322149402	unknown	ESA-LSSS-Centurion2	
J75_02_20110825004513.fits	-9999	55798.0319212963	V	90	353.883549086613	-10.3933331102108	unknown	ESA-LSSS-Centurion2	
J75_02_20110825005925.fits	-9999	55798.0417824074	V	90	353.883371175733	-10.3934445955503	unknown	ESA-LSSS-Centurion2	
rings.v3.skycell.1141.030.wrp.i.55811_50289	-9999	55811.5035497167	i	45	353.629805780524	-10.5453729718365	1141.030	Pan-STARRS1	
rings.v3.skycell.1141.030.wrp.i.55811_50640	-9999	55811.5070643167	i	45	353.629737245824	-10.5454122182031	1141.030	Pan-STARRS1	
rings.v3.skycell.1141.030.wrp.i.55811_51513	-9999	55811.5157890167	i	45	353.629567114174	-10.5455096440199	1141.030	Pan-STARRS1	
rings.v3.skycell.1141.030.wrp.i.55811_51865	-9999	55811.5193088167	i	45	353.629498478074	-10.5455489484532	1141.030	Pan-STARRS1	
rings.v3.skycell.1141.031.wrp.g.55829_44806	-9999	55829.4487038426	g	43	353.277102304396	-10.7372064108617	1141.031	Pan-STARRS1	
rings.v3.skycell.1141.021.wrp.g.55834_42009	-9999	55834.4207356426	g	43	353.181405158806	-10.7859925850293	1141.021	Pan-STARRS1	
rings.v3.skycell.1141.021.wrp.r.55834_46501	-9999	55834.4656412815	r	40	353.180550080598	-10.7864216833566	1141.021	Pan-STARRS1	
rings.v3.skycell.1141.022.wrp.i.55848_37937	-9999	55848.3800399167	i	45	352.929644328069	-10.9080497560165	1141.022	Pan-STARRS1	
rings.v3.skycell.1141.022.wrp.i.55848_39280	-9999	55848.3934559167	i	45	352.929418492069	-10.9081544753498	1141.022	Pan-STARRS1	
rings.v3.skycell.1141.022.wrp.g.55859_21757	-9999	55859.2182148426	g	43	352.760366956396	-10.9844289915293	1141.022	Pan-STARRS1	
rings.v3.skycell.1141.022.wrp.g.55859_23050	-9999	55859.2311511426	g	43	352.760183692146	-10.9845087653793	1141.022	Pan-STARRS1	
rings.v3.skycell.1141.023.wrp.y.55878_31376	-9999	55878.3143359111	y	30	352.543750784719	-11.0717882388568	1141.023	Pan-STARRS1	
rings.v3.skycell.1141.023.wrp.r.55879_23970	-9999	55879.2403259815	r	40	352.536355820559	-11.074390869284	1141.023	Pan-STARRS1	
rings.v3.skycell.1141.023.wrp.r.55879_25198	-9999	55879.2526043815	r	40	352.536261174559	-11.074423611684	1141.023	Pan-STARRS1	
rings.v3.skycell.1141.023.wrp.z.55890_20722	-9999	55890.2077955111	z	30	352.473397715711	-11.0930436528124	1141.023	Pan-STARRS1	
rings.v3.skycell.1141.023.wrp.z.55890_21840	-9999	55890.2189758111	z	30	352.473358584661	-11.0930504852179	1141.023	Pan-STARRS1	
rings.v3.skycell.1141.023.wrp.r.55895_25391	-9999	55895.2545408815	r	40	352.460337127881	-11.0940888902862	1141.023	Pan-STARRS1	
VCAM.2012-06-09T08:20:52.702	-9999	56087.3479190047	KS	15	355.920781439783	-10.0408311992087	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:21:20.161	-9999	56087.3482368172	KS	15	355.920783637986	-10.0408321614743	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:21:53.702	-9999	56087.3486250232	KS	15	355.920786323077	-10.0408333368758	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:22:20.909	-9999	56087.348939919	KS	15	355.920788501107	-10.0408342903103	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:22:57.595	-9999	56087.3493645255	KS	15	355.920791437968	-10.0408355759245	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:23:24.420	-9999	56087.349675	KS	15	355.920793585417	-10.0408365159722	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:23:56.755	-9999	56087.3500492477	KS	15	355.920796173963	-10.0408376491111	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:24:25.719	-9999	56087.3503844792	KS	15	355.920798492648	-10.0408386641176	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:25:04.265	-9999	56087.3508306135	KS	15	355.92080157841	-10.0408400149131	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:25:31.163	-9999	56087.3511419329	KS	15	355.920803731703	-10.0408409575191	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:26:04.782	-9999	56087.3515310417	KS	15	355.920806423039	-10.0408421356541	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:26:31.953	-9999	56087.3518455209	KS	15	355.920808598186	-10.0408430878272	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:27:23.307	-9999	56087.3524398959	J	15	355.92081270928	-10.0408448874626	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:27:49.120	-9999	56087.3527386575	J	15	355.920814775715	-10.0408457920464	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:28:20.939	-9999	56087.3531069329	J	15	355.920817322953	-10.0408469071024	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:28:46.525	-9999	56087.3534030672	J	15	355.920819371215	-10.0408478037313	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:29:23.792	-9999	56087.3538343982	J	15	355.920822354588	-10.0408491097057	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:29:49.663	-9999	56087.3541338311	J	15	355.920824425665	-10.040850016322	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:30:21.482	-9999	56087.3545021065	J	15	355.920826972903	-10.040851131378	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:30:47.181	-9999	56087.3547995487	J	15	355.920829030212	-10.0408520319669	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:31:22.200	-9999	56087.3552048612	J	15	355.920831833623	-10.0408532591631	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:31:47.023	-9999	56087.3554921644	J	15	355.920833820804	-10.0408541290534	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:32:19.008	-9999	56087.3558623612	J	15	355.920836381332	-10.040855249927	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:32:44.725	-9999	56087.3561600116	J	15	355.92083844008	-10.0408561511463	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:33:32.977	-9999	56087.3568052893	Y	30	355.920842903251	-10.0408581049038	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:34:15.780	-9999	56087.3573006944	Y	30	355.920846329803	-10.0408596048803	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:35:09.634	-9999	56087.3579240046	Y	30	355.920850641032	-10.0408614921251	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:35:50.670	-9999	56087.3583989583	Y	30	355.920853926128	-10.0408629301793	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:36:43.730	-9999	56087.3590130787	Y	30	355.920858173794	-10.0408647895994	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:37:28.134	-9999	56087.3595270139	Y	30	355.920861728513	-10.040866345681	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:38:23.689	-9999	56087.3601700116	Y	30	355.920866175914	-10.0408682925351	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:39:03.265	-9999	56087.3606280671	Y	30	355.920869344131	-10.0408696794254	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:39:53.273	-9999	56087.3612068634	Y	30	355.920873347472	-10.040871431892	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:40:37.311	-9999	56087.3617165625	Y	30	355.920876872891	-10.0408729751476	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:41:30.323	-9999	56087.3623301273	Y	30	355.920881116714	-10.0408748328855	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-06-09T08:42:11.381	-9999	56087.3628053356	Y	30	355.920884403571	-10.0408762717106	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:26:00.811	-9999	56113.3514850811	KS	15	355.971234942455	-10.1755662811413	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:26:33.499	-9999	56113.3518634144	KS	15	355.971233760163	-10.1755690135484	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:28:12.564	-9999	56113.35301	KS	15	355.971230177083	-10.1755772944445	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:28:41.528	-9999	56113.3533452315	KS	15	355.971229129485	-10.1755797155609	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:30:20.586	-9999	56113.3544917362	KS	15	355.971225546657	-10.1755879958726	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:30:47.563	-9999	56113.35480397	KS	15	355.971224570927	-10.1755902508945	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:32:38.443	-9999	56113.3560873033	J	15	355.97122056051	-10.1755995194127	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:33:03.078	-9999	56113.3563724306	J	15	355.971219669487	-10.1756015786655	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:34:34.986	-9999	56113.3574361806	J	15	355.971216345269	-10.1756092613044	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:35:00.814	-9999	56113.3577351158	J	15	355.971215411096	-10.1756114202808	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:36:33.709	-9999	56113.3588102894	J	15	355.971212051179	-10.1756191854235	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:36:59.069	-9999	56113.3591038079	J	15	355.971211133933	-10.1756213052793	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:38:47.842	-9999	56113.3604495602	Y	30	355.971206928457	-10.1756310246014	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:39:32.223	-9999	56113.3609632292	Y	30	355.971205323242	-10.1756347344331	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:42:08.420	-9999	56113.3627710648	Y	30	355.971199673756	-10.1756477910236	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:42:54.852	-9999	56113.3633084722	Y	30	355.971197994357	-10.1756516722993	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:45:35.565	-9999	56113.3651685764	Y	30	355.971192181532	-10.1756651063851	STR07	ESO-VISTA/VIRCAM	
VCAM.2012-07-05T08:46:18.745	-9999	56113.3656683449	Y	30	355.971190619755	-10.1756687158243	STR07	ESO-VISTA/VIRCAM	
J75_02_20120717030844.fits	-9999	56125.131412037	V	60	355.909769885224	-10.2699904893261	unknown	ESA-LSSS-Centurion2	
J75_02_20120717031801.fits	-9999	56125.1378587963	V	60	355.909721803144	-10.2700472566229	unknown	ESA-LSSS-Centurion2	
J75_02_20120717032719.fits	-9999	56125.1443171296	V	60	355.909673634742	-10.2701041258359	unknown	ESA-LSSS-Centurion2	
rings.v3.skycell.1142.045.wrp.z.56136_60646	-9999	56136.6070411111	z	30	355.803080000972	-10.3780813266357	1142.045	Pan-STARRS1	
rings.v3.skycell.1142.045.wrp.z.56136_60694	-9999	56136.6075245111	z	30	355.803074623147	-10.3780861472079	1142.045	Pan-STARRS1	
rings.v3.skycell.1142.045.wrp.z.56136_61801	-9999	56136.6185954111	z	30	355.802951459385	-10.3781965486829	1142.045	Pan-STARRS1	
rings.v3.skycell.1142.045.wrp.z.56136_61850	-9999	56136.6190793111	z	30	355.802946075997	-10.3782013742413	1142.045	Pan-STARRS1	
rings.v3.skycell.1142.035.wrp.y.56141_58664	-9999	56141.5872313111	y	30	355.74379453803	-10.4289503261573	1142.035	Pan-STARRS1	
