objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance
PSO J332.3857-14.8756,-999,-999,-999,90143323856479710,3586709000099514,440152543560891,0,12737865580236,9014,1,1047,22,0.747598606858029,3586709,102481,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,332.38568124,-14.8755543,0.17047999799251556,0.17047999799251556,,,,,56912.4166088,-999.0,0.8563911573547708,-0.44798302667707623,-0.25672045772357593,329.0707295355427,-3.2870856125886476,42.59027309564858,-50.4786145859068,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9997270107269287,21.352699279785156,0.16981899738311768,-999.0,1,21.352699279785156,21.352699279785156,19.478500366210938,0.09038600325584412,-999.0,1,20.07859992980957,0.16981899738311768,-999.0,1,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.007813020467196624
PSO J332.3867-14.8763,-999,-999,-999,90143323866268849,3586709000099746,440152543561123,0,12737865578230,9014,1,1047,22,0.667586350503924,3586709,102481,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,332.38666116,-14.87625889,0.16617999970912933,0.16617999970912933,,,,,56912.40371528,-999.0,0.8563960215400603,-0.44796691658896187,-0.2567323429802617,329.0713679222767,-3.2880791943955434,42.5898921506924,-50.47976985032761,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9988830089569092,21.33650016784668,0.16549700498580933,-999.0,1,21.33650016784668,21.33650016784668,19.46299934387207,0.09075800329446793,-999.0,1,20.125,0.16549700498580933,-999.0,1,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.007758312301778851
PSO J332.3880-14.8774,-999,-999,-999,90143323879307583,3586709000100020,440152543561397,0,12737865574339,9014,1,1047,22,0.232933767356848,3586709,102481,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,332.38801671,-14.87744277,0.1995999962091446,0.1995999962091446,,,,,56333.39913194,-999.0,0.8564019188999822,-0.44794419639977673,-0.2567523129714446,329.07217702866143,-3.289649374751132,42.58906667810642,-50.48145568693881,-999,0,2,0,1,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.3790009915828705,22.858600616455078,-999.0,-999.0,1,22.858600616455078,22.858600616455078,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,4120,0.3279240131378174,21.6481990814209,0.21444399654865265,-999.0,1,21.6481990814209,21.6481990814209,-999.0,-999.0,-999.0,0,21.14069938659668,0.21444399654865265,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.008168183799859391
PSO J332.3889-14.8754,-999,-999,-999,90143323887689769,3586709000100211,440152543561588,0,12737865566334,9014,1,1047,22,0.390251234537224,3586709,102481,3,436285440,0,52,332.3888954,-14.87536026,0.0010000000474974513,0.0010000000474974513,332.38893081,-14.87544182,0.12748999893665314,0.12748999893665314,,,,,56510.73619213,5.1483001708984375,0.8564170102284053,-0.44793468871352604,-0.25671856037021584,329.07371257304254,-3.2880891926476505,42.5925035663535,-50.48141848581704,-999,1,2,0,0,1,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.9988589882850647,21.46430015563965,0.1688860058784485,-999.0,1,21.46430015563965,21.46430015563965,20.76889991760254,0.17684100568294525,-999.0,1,20.720300674438477,0.1688860058784485,-999.0,1,16793912,0.03372399881482124,20.767099380493164,0.19280900061130524,-999.0,1,20.767099380493164,20.767099380493164,-999.0,-999.0,-999.0,0,20.418899536132812,0.19280900061130524,-999.0,1,16952,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.00598159555345283
PSO J332.3890-14.8771,-999,-999,-999,90143323889987765,3586709000100249,440152543561626,0,12737865541689,9014,1,1047,22,0.538408447558441,3586709,102481,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,332.38901148,-14.87713966,0.3734700083732605,0.3734700083732605,,,,,56830.58694444,-999.0,0.8564108995706896,-0.44792995698625576,-0.25674720004473905,329.0731852144485,-3.2897052210056197,42.59013276571402,-50.48220135198181,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.5377489924430847,21.73819923400879,0.37317100167274475,-999.0,1,21.73819923400879,21.73819923400879,-999.0,-999.0,-999.0,1,22.565200805664062,0.37317100167274475,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.007558796260632195
PSO J332.3890-14.8762,-999,-999,-999,90143323890128926,3586709000100250,440152543561627,0,12737865536550,9014,1,1047,22,0.85092495926742,3586709,102481,3,444915712,7,53,332.38899772,-14.87615771,0.0010000000474974513,0.0010000000474974513,332.3890473627282,-14.876137730004684,0.025254871543266683,0.025254871543266683,36.90034403940103,16.091664025674753,16.520015567275344,16.520015567275344,56574.329573919495,21.07133674621582,0.8564151583847317,-0.44793150140752347,-0.2567302992162332,329.0735628197853,-3.288791078496666,42.59156256138706,-50.4818140255321,-999,4,9,0,0,7,2,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.9997239708900452,20.99250030517578,0.126118004322052,0.4020859897136688,6,20.741500854492188,21.813100814819336,19.414400100708008,0.16801300644874573,1.7978899478912354,7,20.082599639892578,0.1994750052690506,0.540090024471283,7,16892216,0.9991549849510193,21.254499435424805,0.1734119951725006,-999.0,1,21.254499435424805,21.254499435424805,20.70840072631836,0.21335500478744507,-999.0,1,20.652599334716797,0.1734119951725006,-999.0,1,16892216,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.0065941253831168795
PSO J332.3894-14.8777,-999,-999,-999,90143323893167160,3586709000100322,440152543561699,0,12737865541883,9014,1,1047,22,0.0684786895927775,3586709,102481,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,332.38935457,-14.87766441,0.1590300053358078,0.1590300053358078,,,,,56912.40371528,-999.0,0.8564114980865398,-0.44792373892396614,-0.25675605163957294,329.073310388054,-3.2903132480014894,42.589602671964215,-50.48272244518735,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.998100996017456,21.296899795532227,0.15832500159740448,-999.0,1,21.296899795532227,21.296899795532227,19.440900802612305,0.08898299932479858,-999.0,1,20.177600860595703,0.15832500159740448,-999.0,1,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.007979818390255598
PSO J332.3901-14.8767,-999,-999,-999,90143323900358322,3586709000100497,440152543561874,0,12737865543867,9014,1,1047,22,0.0909289541569808,3586709,102481,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,332.39006984,-14.87669181,0.16467000544071198,0.16467000544071198,,,,,56912.37791667,-999.0,0.8564209518204163,-0.44791506746367554,-0.25673964559846074,329.07430218327954,-3.28964735104533,42.59144588704768,-50.48294209893925,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9975919723510742,21.34830093383789,0.16398899257183075,-999.0,1,21.34830093383789,21.34830093383789,19.791799545288086,0.10948800295591354,-999.0,1,20.53339958190918,0.16398899257183075,-999.0,1,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.006888529442319445
PSO J332.3902-14.8762,-999,-999,-999,90143323901728951,3586709000100527,440152543561904,0,12737865537461,9014,1,1047,22,0.0285250563440146,3586709,102481,3,302067712,0,36,-999.0,-999.0,-999.0,-999.0,332.39021236,-14.87618055,0.14319999516010284,0.14319999516010284,,,,,56902.38743056,-999.0,0.8564240959974149,-0.44791399887226624,-0.2567310215172022,329.07461207242704,-3.289217647879852,42.59226607250894,-50.482852713796696,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9983299970626831,20.95800018310547,0.142412006855011,-999.0,1,20.95800018310547,20.95800018310547,-999.0,-999.0,-999.0,1,22.58989906311035,0.142412006855011,-999.0,1,280,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.006361646589563252
PSO J332.3907-14.8764,-999,-999,-999,90143323906718687,3586709000100622,440152543561999,0,12737865536957,9014,1,1047,22,0.511920377157554,3586709,102481,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,332.39070917,-14.87639248,0.17972999811172485,0.17972999811172485,,,,,56912.40371528,-999.0,0.8564271383263221,-0.44790613273458324,-0.2567345964160977,329.0749871015766,-3.289585455378755,42.59228021061337,-50.483377485389006,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9992420077323914,21.43400001525879,0.1790979951620102,-999.0,1,21.43400001525879,21.43400001525879,19.350900650024414,0.08218199759721756,-999.0,1,20.202600479125977,0.1790979951620102,-999.0,1,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.006514270486237441
PSO J332.3909-14.8774,-999,-999,-999,90143323908517486,3586709000100661,440152543562038,0,12737865544675,9014,1,1047,22,0.457799575717933,3586709,102481,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,332.39088629,-14.87738814,0.17681999504566193,0.17681999504566193,,,,,56912.37791667,-999.0,0.8564245694223778,-0.4479014175826254,-0.2567513914610192,329.0747954126336,-3.2905774325927792,42.59097254627059,-50.48395046980639,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9970930218696594,21.43429946899414,0.17618000507354736,-999.0,1,21.43429946899414,21.43429946899414,19.82819938659668,0.11688999831676483,-999.0,1,20.379600524902344,0.17618000507354736,-999.0,1,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.007496845859538616
PSO J332.3915-14.8760,-999,-999,-999,90143323914919097,3586709000100794,440152543562171,0,12737865538597,9014,1,1047,22,0.541225145143666,3586709,102481,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,332.39152654,-14.87604655,0.17329999804496765,0.17329999804496765,,,,,56912.37791667,-999.0,0.8564349015290317,-0.44789463340678315,-0.2567287611631412,329.07584975745243,-3.2895407155890894,42.59329445535324,-50.483949529272465,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.997186005115509,21.407400131225586,0.17264600098133087,-999.0,1,21.407400131225586,21.407400131225586,19.745500564575195,0.10911999642848969,-999.0,1,20.582599639892578,0.17264600098133087,-999.0,1,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.006151946026051656
PSO J332.3917-14.8775,-999,-999,-999,90143323916337272,3586709000100821,440152543562198,0,12737865547105,9014,1,1047,22,0.768108485981923,3586709,102481,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,332.39173011,-14.87745699,0.11687000095844269,0.11687000095844269,,,,,56912.41028935,7.45959997177124,0.8564308923712318,-0.4478886616154765,-0.2567525528373819,329.0755353354867,-3.2909297852856825,42.59141185956539,-50.48471968827284,-999,0,2,0,0,2,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9995139837265015,21.340299606323242,0.017872000113129616,0.025280000641942024,2,21.322799682617188,21.35849952697754,19.40019989013672,0.054903000593185425,0.07779800146818161,2,20.121999740600586,0.04314500093460083,0.06102899834513664,2,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.007570636667106653
PSO J332.3920-14.8778,-999,-999,-999,90143323919396996,3586709000100883,440152543562260,0,12737865547122,9014,1,1047,22,0.620037908311969,3586709,102481,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,332.39197125,-14.87781333,0.14372999966144562,0.14372999966144562,,,,,56602.20335648,-999.0,0.8564313623638896,-0.44788431715337845,-0.2567585636499473,329.0756277225255,-3.2913454607767547,42.591057073367615,-50.485080704938916,-999,0,1,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.15236300230026245,20.569599151611328,0.14294099807739258,-999.0,1,20.569599151611328,20.569599151611328,19.890600204467773,0.16168299317359924,-999.0,1,19.770599365234375,0.14294099807739258,-999.0,1,16777752,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.007943131353198987
PSO J332.3926-14.8778,-999,-999,-999,90143323926306944,3586709000142171,440152543605271,0,12737865547189,9014,1,1047,22,0.58818789998832,3586709,102481,3,1343750144,0,160,332.3926376,-14.87784654,0.0010000000474974513,0.0010000000474974513,332.3926376,-14.87784654,0.0010000000474974513,0.0010000000474974513,,,,,55856.56114583,-999.0,0.8564364393221372,-0.44787428785877886,-0.25675912384219357,329.0762195081685,-3.2916039124020777,42.59143418422945,-50.48567926889257,-999,1,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.008057309309163117
PSO J332.3929-14.8758,-999,-999,-999,90143323928719401,3586709000101057,440152543562434,0,12737865538409,9014,1,1047,22,0.0382797895355893,3586709,102481,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,332.39290823,-14.87581522,0.16255000233650208,0.16255000233650208,,,,,56912.4166088,-999.0,0.8564466207912368,-0.4478744606473305,-0.2567248590127849,329.0771830091685,-3.289795764606338,42.59450474872296,-50.48506474780973,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9987130165100098,21.311500549316406,0.16186000406742096,-999.0,1,21.311500549316406,21.311500549316406,19.167600631713867,0.07375100255012512,-999.0,1,19.85420036315918,0.16186000406742096,-999.0,1,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.006125970171037176
PSO J332.3931-14.8771,-999,-999,-999,90143323930717868,3586709000101098,440152543562475,0,12737865546159,9014,1,1047,22,0.521458362714814,3586709,102481,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,332.39310674,-14.87707048,0.14339999854564667,0.14339999854564667,,,,,56912.37791667,-999.0,0.8564431882283949,-0.4478688868681541,-0.25674603310014876,329.0769188777583,-3.2910379203682174,42.592840300341365,-50.485765395735584,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9978349804878235,21.190099716186523,0.14261400699615479,-999.0,1,21.190099716186523,21.190099716186523,19.691200256347656,0.09822899848222733,-999.0,1,20.318700790405273,0.14261400699615479,-999.0,1,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0073892845530313086
PSO J332.3937-14.8755,-999,-999,-999,90143323936919797,3586709000101222,440152543562599,0,12737865537653,9014,1,1047,22,0.685223651756741,3586709,102481,3,302067712,0,36,-999.0,-999.0,-999.0,-999.0,332.39373663,-14.87547244,0.19684000313282013,0.19684000313282013,,,,,55879.245,-999.0,0.8564544572285446,-0.4478627895454881,-0.25671907687955886,329.0780545437667,-3.2897577431624594,42.59552158243545,-50.485647779153425,-999,0,2,0,1,0,0,1,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0024309998843818903,21.89189910888672,0.19626399874687195,-999.0,1,21.89189910888672,21.89189910888672,21.293699264526367,0.23531000316143036,-999.0,1,21.371299743652344,0.19626399874687195,-999.0,1,16777752,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.6275230050086975,19.85099983215332,0.18352100253105164,-999.0,1,19.85099983215332,19.85099983215332,-999.0,-999.0,-999.0,0,20.205900192260742,0.18352100253105164,-999.0,1,4112,0.006064791207899757
PSO J332.3941-14.8760,-999,-999,-999,90143323940699195,3586709000101300,440152543562677,0,12737865537769,9014,1,1047,22,0.545276831412014,3586709,102481,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,332.39410322,-14.87598108,0.16082000732421875,0.16082000732421875,,,,,56912.39083333,-999.0,0.8564553031369239,-0.4478562536859793,-0.25672765679412035,329.0782066919503,-3.2903587198211817,42.59502945090089,-50.48618275293063,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9981769919395447,21.257299423217773,0.16011500358581543,-999.0,1,21.257299423217773,21.257299423217773,19.56450080871582,0.09366700053215027,-999.0,1,20.1156005859375,0.16011500358581543,-999.0,1,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.006673143509869976
PSO J332.3943-14.8776,-999,-999,-999,90143323942707251,3586709000101341,440152543562718,0,12737865545909,9014,1,1047,22,0.132425954688737,3586709,102481,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,332.39430574,-14.87758454,0.17117999494075775,0.17117999494075775,,,,,56912.37791667,-999.0,0.8564505190382543,-0.44784989697385963,-0.2567547043767807,329.07782304266726,-3.2919280168470615,42.59287071311424,-50.48703295895055,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9965230226516724,21.391700744628906,0.17052499949932098,-999.0,1,21.391700744628906,21.391700744628906,19.621400833129883,0.10135599970817566,-999.0,1,20.338499069213867,0.17052499949932098,-999.0,1,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.008229061867486263
